,Strike,Dec_Call,Dec_Put,Jan_Call,Jan_Put,Feb_Call,Feb_Put
0,186,19.425,0.45,20.625,1.75,22.5,3.075
1,187,18.45,0.475,19.8,1.9,21.7,3.275
2,188,17.475,0.5,18.95,2.05,20.925,3.475
3,189,16.5,0.525,18.125,2.225,20.175,3.7
4,190,15.55,0.575,17.325,2.425,19.4,3.95
5,191,14.625,0.625,16.525,2.625,18.65,4.2
6,192,13.7,0.725,15.75,2.85,17.925,4.45
7,193,12.85,0.85,14.975,3.075,17.225,4.75
8,194,12.0,1.025,14.225,3.325,16.525,5.025
9,195,11.175,1.175,13.5,3.575,15.85,5.35
10,196,10.3,1.325,12.775,3.85,15.2,5.7
11,197,9.45,1.475,12.075,4.15,14.575,6.075
12,198,8.675,1.675,11.4,4.475,13.975,6.475
13,199,7.95,1.975,10.725,4.8,13.425,6.9
14,200,7.275,2.275,10.075,5.15,12.85,7.325
15,201,6.55,2.55,9.45,5.525,12.2,7.7
16,202,5.875,2.875,8.85,5.9,11.525,8.1
17,203,5.275,3.275,8.25,6.325,10.825,8.3
18,204,4.725,3.725,7.675,6.75,10.125,8.575
19,205,4.2,4.2,7.125,7.175,9.425,8.875
20,206,3.7,4.7,6.6,7.65,8.775,9.225
21,207,3.25,5.25,6.1,8.15,8.175,9.6
22,208,2.825,5.825,5.625,8.65,7.625,10.05
23,209,2.425,6.425,5.15,9.2,7.125,10.55
24,210,2.075,7.05,4.725,9.75,6.65,11.075
25,211,1.75,7.7,4.3,10.325,6.225,11.65
26,212,1.475,8.475,3.925,10.95,5.85,12.25
27,213,1.25,9.225,3.575,11.6,5.475,12.9
28,214,1.05,10.05,3.25,12.275,5.15,13.55
29,215,0.9,10.9,2.95,12.975,4.825,14.225
30,216,0.775,11.775,2.675,13.7,4.525,14.9
31,217,0.675,12.675,2.425,14.45,4.225,15.6
32,218,0.6,13.575,2.2,15.225,3.925,16.3
33,219,0.525,14.5,2.0,16.0,3.65,17.025
34,220,0.45,15.45,1.8,16.825,3.4,17.75
35,221,0.4,16.4,1.65,17.625,3.15,18.5
36,222,0.35,17.35,1.475,18.475,2.9,19.25
37,223,0.325,18.325,1.35,19.325,2.675,20.025
38,224,0.275,19.275,1.225,20.2,2.475,20.825
39,225,0.25,20.25,1.1,21.075,2.275,21.625
40,226,0.25,21.225,1.0,21.975,2.1,22.425
